First Name,Notes,Address
BALDY HILL,"In between Pinnacle Peak and Weyerhaeuser Mill, SE of Enumclaw","47.18333, -121.94861"
BALLARD PARK,Kersey Way & 37th Way SE  Auburn,"47.27583, -122.20611"
BANDERA AIR STRIP,"Exit 45, I-90 (Bandera is not on exit sign),Airstrip is on S side of I-90.","47.39417, -121.52972"
BANDERA MOUNTAIN,1.4 mi N of Bandera Airstrip,"47.41583, -121.53611"
BANNERWOOD PARK,127 Pl SE at SE 17th St  Bellevue,"47.59694, -122.15806"
BARCLAY LAKE TRAILHEAD,FS road begins at Baring but Trailhead is in Sno County,"47.79333, -121.45722"
BARE MOUNTAIN,"South of Paradise Lakes, E of Prospectors Ridge","47.65000, -121.50639"
BARE MOUNTAIN TRAILHEAD,N Fk road to FS rd 57 to trailhead.  19.6 miles from Ernies Grove,"47.63944, -121.52583"
BARING LAKE,"Head of Barclay Creek, on N side of Klinger Ridge","47.76444, -121.39944"
BARING MOUNTAIN,"On King-Snohomish County line, E of Baring","47.77889, -121.43361"
BASS LAKE,"1700 ft SE fm Beaver Lake, dr to Beaver Lake & Green River","47.25556, -121.99333"
BASSETT POND,At NE 165th St in Bassett Pond Park,"47.74833, -122.09611"
BASSETT POND PARK,18000 NE 165th St  King County,"47.74778, -122.09611"
BAUER POND,"2100 ft NW of Ames Lake, drains to Ames Lake","47.64333, -121.96889"
BEAR CREEK PARK,Avondale Way NE & Union Hill Rd  Redmond,"47.67306, -122.10667"
BEAR LAKE,"NE of Deer Lake, drains to Deer Lake","47.57389, -121.39306"
BEAR LAKE,"Head of Bear Creek, 7000 ft SW of Abiel Peak","47.33972, -121.49444"
BEAR LAKE 1,"Head of Bear Creek, Trib to Lennox Creek","47.64833, -121.48500"
BEAR LAKE 2,"Drains into Bear Creek, 600 ft SE of Bear Lk 1","47.64694, -121.48056"
BEAR LAKE TRAIL,FS Rd 6410 (Miller River Rd) to FS 6412 ,"47.61139, -121.38667"
BEARPAW BUTTE,"On Pacific Crest trail, ESE of Snowshoe Butte","47.21806, -121.33972"
BEAVER LAKE,"1700 ft NW fm Bass Lk, dr to Sinkhole Lake & Green River","47.26139, -122.00194"
BEAVER LAKE NO. 1,Upper segment of Beaver Lake dr to Beaver Lake No 2,"47.59556, -121.98917"
BEAVER LAKE NO. 2,Drains to Beaver Lake No 3,"47.59111, -121.99556"
BEAVER LAKE NO. 3,3500 ft NE of Pine Lake drains to Sammamish Lake,"47.58528, -122.00194"
BEAVER LAKE PARK,24400 SE 24th St  King County,"47.58694, -122.00417"
BEAVERDAM LAKE,"Drains to Beaverdam Creek, 2 mi N of Lynn Lake","47.23889, -121.78611"
BECKLER PEAK,NE of Skykomish,"47.73528, -121.27972"
BECKLER RIVER CAMPGROUND,"N of Skykomish, N of Sobieski Mountain","47.73389, -121.33111"
BELLEFIELDS NATURE PARK,Bellevue Wy SE & 112 Av SE  Bellevue,"47.59417, -122.19222"
BELLEVUE HIGHLANDS PARK,"140th Av NE & NE Bellevue-Redmond,  Bellevue ","47.62667, -122.15167"
BELLEVUE LAKE,E of I-405 between NE 8th St & NE 12th St,"47.62028, -122.17944"
BENCH LAKE,"Drains to Middle Paradise Lk, 500 ft to the south","47.65556, -121.50000"
BENCH LAKE,"Drains to Middle Paradise Lk, 500 ft to the south","47.65556, -121.50000"
BENGSTON LAKE,"Drains to Yellow Creek, trib. to NF Tolt River","47.76278, -121.74556"
BERTHA LAKE,"On W side Mt Fernow, Drains north to Johnson Creek ","47.75556, -121.24556"
BESSEMER MOUNTAIN,S of Lake Blethen and Lower Blethen Lake,"47.55917, -121.60667"
BICENTENNIAL PARK,Christensen Rd & Strander Blvd  Tukwila,"47.45639, -122.24556"
BICENTENNIAL PARK,Auburn Way S & 6th St SE  Auburn,"47.30194, -122.22306"
BIG COUGAR LAKE,"3300 ft NW of Marten Lake, Drains to S Fk Cougar Creek","47.60278, -121.52750"
BIG FINN HILL PARK,Juanita Dr NE & NE 138th St  King County,"47.72389, -122.23694"
BIG HEART LAKE,Trailhead is at end of FS 68 (Foss River Rd),"47.63694, -121.30111"
BIG HEART LAKE,Drains via a series of falls 3000 ft NE to Delta Lake,"47.57667, -121.31611"
BIG MASON LAKE,"Head of Mason Creek, 1 mi SE of Mt Defiance","47.42306, -121.55111"
BIG SNOW LAKE,"Drains to Dingford Creek, 3000 ft NW Big Snow Mountain","47.54333, -121.36944"
BIG SNOW MOUNTAIN,2600 ft SE of Big Snow Lake,"47.53472, -121.36528"
BIG TUSCOHATCHIE LAKE,"Drains to Lower Tuscohatchie Lk, 2.8 mi W of Snoqualmie Pass","47.43333, -121.47639"
BILL REAMS EAST SAMMAMISH PK,NE 16th St & 212th Av NE  King County,"47.62306, -122.05528"
BINER LAKE,"Drains to WF Foss River, 5000 ft SSW of Evans Lake","47.63972, -121.33528"
BLACK DIAMOND BR. STATE PARK,Entrance is 4/10 mi S of bridge on Enumclaw-Black Diamond Rd,"47.27583, -121.99778"
BLACK DIAMOND LAKE,"1 mi SW of Black Diamond, seepage outlet to Lake Sawyer","47.29778, -122.01694"
BLACK HAWK MINE HELO PAD,Located at end of FS Rd 5730.113 (From N. Fork County Rd),"47.67500, -121.56139"
BLACK LAKE,"Drains to Black Creek, on east side of east trunk line","47.64694, -121.72639"
BLAZER LAKE,"Drains to Kulla Kulla Creek, 5 mi W of Pratt Mountain","47.42750, -121.53417"
BLETHEN LAKE (LOWER),"Head of Quartz Creek, 1 mi N of Bessemer Mountain","47.57222, -121.60444"
BLOWOUT MOUNTAIN,"On Pacific Crest trail, near headwaters of Green River","47.13972, -121.30111"
BLUE LAKE,"In Talapus Creek, 1 mi E of Granite Mountain","47.41444, -121.51694"
BLUEBERRY LAKE,"Between SE 8th St & SE 3rd St, E of 148th Av SE","47.60556, -122.13889"
BOISE LAKE,"Log pond, in/out Boise Creek to White River","47.18611, -121.92500"
BONE LAKE,"Drains to Wolf Creek, 1700 ft SE of Christoff L. O.","47.17750, -121.60667"
BONER LAKE,"Drains to Cement Lake, SE end of Crosby Mountain","47.71500, -121.48500"
BONNIE LAKE,Drains 2700 ft NW to Otter Lake,"47.56667, -121.27111"
BOOMERANG LAKE,"4800 ft SE of Isabella Lk, at head of W Fk Sunday Creek","47.59250, -121.59611"
BORDEN PLAYFIELD,James St & 45th Av  Kent,"47.38528, -122.23500"
BOREN LAKE,Drains to May Creek & Lake Washington,"47.53333, -122.16444"
BORST LAKE,"Log pond at Snoqualmie Falls Lumber Co. mill, circular in shape","47.53333, -121.82028"
BOULEVARD LANE PARK,SE 192nd St & 124th Av SE  King County,"47.43333, -122.17306"
BOVEE PARK,NE 16th Pl & 108th Av NE,"47.62444, -122.19361"
BOYLE LAKE,Drains 2000 ft S to Klaus Lake,"47.59694, -121.75639"
BRANNAN PARK,26th St NE & M St NE  Auburn,"47.33250, -122.21361"
BREW HILL,SW of Taylor Mountain and Hwy 18,"47.44333, -121.87806"
BREWSTER LAKE,Drains to SF Snoqualmie R 3.2 mi S of North Bend,"47.44778, -121.77778"
BRIDGES LAKE,Drains 1700 ft S to Boyle Lake,"47.60722, -121.75639"
BRIDLE TRAILS STATE PARK,116th Av NE & NE 53rd St  King County,"47.65278, -122.17500"
BROWN LAKE,Drains W to Upper Garfield Mountain Lake outlet,"47.55111, -121.46778"
BRYANT PEAK,E of Melakwa Lake,"47.45194, -121.45917"
BRYN MAWR PARK,80th Av S & S 118th St  King County,"47.25417, -122.23056"
BUCK LAKE,Drains to Lower Gifford Lakes,"47.48111, -121.59611"
BURLINGTON GREEN PARK,W Smith St & N Railroad Av  Kent,"47.38111, -122.23056"
BURNTBOOT LAKE (L0WER),"In Burntboot Creek, 2,600 ft below Iceburg Lake","47.49556, -121.31611"
BURROWS LANDING PARK,SE 15th St & 96th Av SE   Bellevue,"47.59833, -122.20722"
BUTCH EVANS SLOUGH,1.5 mi SW fm mouth of Pratt River on N side M Fk Snoqualmie,"47.51278, -121.61111"
BUTLERS BAYOU,"Drains to Snoqualmie River, opposite Sunday Creek","47.66278, -121.63861"
CAD LAKE,"2600 ft N fm Granite Mtn, smallest of Granite Mtn Lks","47.42444, -121.47639"
CALLIGAN LAKE,"In Calligan Creek, Trib. to N Fk Snoqualmie river","47.60556, -121.66861"
CAMP LAKE,"800 ft N of Island Lake, drains to Blazer Lake & Pratt River","47.42444, -121.53611"
CAMP ROBBER LAKE,Drains to Camp Robber Creek,"47.57944, -121.35889"
CAMP SHEPPARD,Just before MP 53 on Hwy 410 on N side of road,"47.03611, -121.55972"
CAMPUS PARK,Canyon Dr SE & S 252nd St  Kent,"47.37667, -122.20278"
CAMRON PARK,Academy Dr SE & Lemon Tree Ln  Auburn,"47.27750, -122.15167"
CAPTAIN POINT,"NE of Mt Fernow, E of Mt Fernow Potholes","47.76722, -121.19222"
CARDIN LAKE,"1 1/2 mi W of Kings Lake, drains to Tokul Creek","47.59111, -121.80750"
CARLSON LAKE,"1700 ft SE fm Beaver Lake, dr to Beaver Lake & Green River","47.25556, -121.99333"
CAROLE LAKE,"3000 ft W of Nordrum Lake, drains to Taylor River","47.55500, -121.45083"
CAROLINE LAKE,"Drains to Derrick Lake, on N side of Mt Roosevelt","47.48833, -121.50639"
CASCADE PARK,126th Ave SE & SE 164 Pl  King County,"47.45778, -122.17306"
CASS POND,"Fed by Anthracite (Coal) creek, drains to Tye River","47.71361, -121.32250"
CATHEDRAL LAKE,"W'most of Shamrock Lakes, dr to Elbow Lake","47.50556, -121.50639"
CAVE RIDGE,NE of Alpental Ski Resort,"47.45361, -121.40806"
CECILS LAKE,"On W side Camp Robber Valley, drains to E Fk Miller River","47.57083, -121.35028"
CEDAR BEAR LAKE,"Head of Bear Creek, 7000 ft SW of Abiel Peak","47.33972, -121.49444"
CEDAR BUTTE,"NE of Chester Morse Lake, SW of Derry Lake","47.43389, -121.74028"
CEDAR GROVE PARK,Renton-Maple Valley Rd at approx SE 156th King Co.,"47.46222, -122.08111"
CEDAR GROVE PARK,"276th Ave SE & Cedar River,  King County","47.37806, -121.95917"
CEDAR LANES PARK,25th St SE & K St SE  Auburn,"47.28611, -122.21361"
CEDAR RIVER PARK,Maple Valley Rd & I-405  Renton,"47.48250, -122.19444"
CEDAR RIVER PARK,149th Av SE & Renton-Maple Valley Rd  Renton,"47.46806, -122.14306"
CEDAR RIVER PARK,Renton-Maple Valley Rd & 161st Av SE  King Co.,"47.46361, -122.11083"
CEDAR RIVER TRAIL,N Riverside Dr & N 6th St  Renton,"47.49111, -122.20722"
CEMENT LAKE,"Drains to Money Creek, on NE end of Crosby Mountain","47.71806, -121.47861"
CENTRAL HOUGHTON PARK,NE 47th St & 108 Av NE  Kirkland,"47.65278, -122.19639"
CHAIR PEAK,Between Mount Roosevelt and Bryant Peak ,"47.45917, -121.46556"
CHAIR PEAK LAKE," 1900 ft  fm Snow Lake, Drains to Snow Lake","47.46667, -121.47222"
CHARLIE BROWN LAKE,Drains W to Upper Garfield Mountain Lake outlet,"47.55111, -121.46778"
CHARLIE LAKES 1,"Drains to Camp Robber Creek, N'most of Charlie Lakes","47.58833, -121.36750"
CHARLIE LAKES 2,"Drains to Camp Robber Creek, 600 ft SE of Charlie Lk 1","47.58694, -121.36528"
CHARLIE LAKES 3,Drains 1600 ft SE to Camp Robber Lake,"47.58389, -121.36306"
CHARLIE LAKES 4,Drains to Camp Robber Creek,"47.57944, -121.35889"
CHERRY CREST PARK,3400 124th Av NE  Bellevue,"47.64139, -122.17167"
CHESTER MORSE LAKE,Primarily on map 206A but extends into other maps,"47.39694, -121.72250"
CHETWOOK LAKE,Drains 1800 ft N to Angeline Lake,"47.55639, -121.31194"
CHISM BEACH PARK,SE 15th St & 97th Pl SE  Bellevue,"47.60000, -122.20722"
CHRISTENSEN GREENBELT PARK,70th Av S & Strander Blvd  Tukwila,"47.45056, -122.24556"
CHRISTMAS LAKE,"2000 ft E of Rattlesnake Lk, lies in 15 acres of marsh","47.43333, -121.75833"
CHUB LAKE,"1 mi SW of Black Diamond, seepage outlet to Lake Sawyer","47.29778, -122.01694"
CINDER LAKE,Marshy at both ends drains to Lake Sawyer,"47.32667, -121.99333"
CISCO LAKE,Drains 1500 ft NW to Angeline Lake,"47.56361, -121.29889"
CITY PARK (Auburn),H St NE & 4th St NE  Auburn,"47.31222, -122.22000"
CITY PARK (King County),Issaquah-Fall City Rd at approx 296th Av SE  King County,"47.57667, -121.95722"
CLARK LAKE,",W of 132 Ave SE and S of SE 240 St, drains to Green River","47.38250, -122.17306"
CLARKE BEACH PARK,"7700 E Mercer Wy, Mercer Island","47.53333, -122.21361"
CLEVELAND LAKE,"Head of Happy Thought Creek, drains to Miller River","47.68750, -121.41861"
CLEVELAND MOUNTAIN,S of Cleveland Lake & SW of Miller River Campground,"47.68028, -121.42306"
CLISE PARK,Island Crest Wy & 84th Av SE  Mercer Island,"47.57528, -122.22417"
CLYDE BEACH PARK,94th Av NE & NE Lake Washington  Bellevue,"47.61639, -122.21611"
CLYDE HILL TOWN PARK,95th Av NE at approx NE 22nd St  Clyde Hill,"47.62944, -122.21139"
COAL CREEK PARK,Coal Creek Pkwy & SE Newport Wy  Bellevue,"47.56667, -122.17722"
COAL CREEK PARK,Newcastle-Coal Creek Rd  King County,"47.53889, -122.13222"
COALFIELD PARK,164th Av SE at approx SE 123rd St  King County,"47.49250, -122.12167"
COLQUHOUN PEAK,Approx 3 mi SE of Kelly  Butte,"47.12944, -121.45917"
COMMONS PLAYFIELD,James St & N 5th Av   Kent,"47.38694, -122.23917"
COMMONWEALTH CAMPGROUND,Just N of Snoqualmie Ski Area parking lot,"47.42889, -121.41444"
COMMONWEALTH CREEK TRAILHEAD,Trail starts at Snoqualmie Pass,"47.43750, -121.39722"
CONEY LAKE,Head of Coney Creek on E side of Lennox Mountain,"47.66722, -121.46139"
CONEY LAKE POTHOLE NR 1,"In Coney Creek, 200 ft below Coney Lake","47.66444, -121.46361"
CONEY LAKE POTHOLE NR 2,"In Coney Creek, 150 ft below Coney Lake","47.66444, -121.46139"
CONEY LAKE POTHOLE NR 3,On SE side of Coney Lake,"47.66722, -121.45917"
COPPER LAKE,Drains to Copper Creek and W Fk Foss River just above Trout Lake,"47.60278, -121.33111"
COPPER LAKE TRAILHEAD,Trailhead is at end of FS 68 (Foss River Rd),"47.63694, -121.30111"
COUGAR MOUNTAIN,Approx 4 1/2 mi E of Howard Hanson Resevoir,"47.29917, -121.63861"
COUGAR MOUNTAIN  PK(NORTH ENT),166th Way SE(Note: from private road) Bellevue,"47.53694, -122.11417"
COUGAR MOUNTAIN  PK(WEST ENT.),Main ent. to park from Newcastle-Coal Creek Rd & Lakemont Blvd,"47.53500, -122.12778"
COUGAR MOUNTAIN WILDLAND PARK,Lakemont Blvd SE & Newcastle-Coal Creek Rd  King Co,"47.54333, -122.11083"
COW LAKE,"N of Kent-Kangley Rd, W of 148th Ave SE, drains Big Soos Creek","47.36444, -122.15167"
CRANBERRY LAKE,"Drains to Tolt River, 3200 ft E of Lake Joy","47.69333, -121.84806"
CRANBERRY SLOUGH,"Peat bog pond in marsh area, drains to Ravensdale Creek","47.33694, -122.01472"
CRATER LAKE,Drains to headwaters SF Tolt River S side of Red Mountain,"47.70778, -121.53611"
CRATER LAKE,"Head of trib to NF Snoqualmie R, 1 mi NE of Mount Si","47.52028, -121.72000"
CRATER LAKE NR 2,"Head of Trib to NF Snoqualmie, 1 mi NE of Mt Teneriffe","47.52028, -121.70500"
CRAWFORD LAKE,"1600 ft SE of Chetwoot Lake, drains to Crawford Creek","47.55056, -121.30333"
CREST AIRPARK,179th Pl SE    King County,"47.33694, -122.10250"
CRESTWOODS PARK,1818 6th St & 19th Av  Kirkland,"47.69056, -122.19472"
CROSBY LAKE,"Drains to EF Index Creek, NW side of Crosby Mountain","47.72222, -121.49556"
CROSBY MOUNTAIN,"SW of Grotto, N of Money Creek Road","47.71806, -121.48694"
CROW LAKE,1 1/2 mi NE fm Black Diamond drains via marshy area to Green River,"47.32528, -121.97417"
CROW LAKE,"1 1/2 mi SE of Deep Lake, drains Coal Creek to Green River","47.26444, -121.90583"
CRYSTAL LAKE,"1800 ft N of Granite Mtn, drains to Upper Tuschhatchie Lk","47.42167, -121.48056"
CRYSTAL LAKE 1,"Head of Goat Creek, on N side of Lennox Mountain","47.68028, -121.46778"
CRYSTAL LAKE 2,"Drains to Goat Creek 1, 300 ft west of Crystal Lake 1","47.68028, -121.47000"
CUMBERLAND FIRE STATION,On Veazie-Cumberland Rd (Note: Pg 779 actually is on Pg 749),"47.28167, -121.92722"
DAIRY LAKE,"Drains to SF Snoqualmie River, 4.5 mi SE of North Bend","47.44611, -121.71361"
DANDY PASS,On King-Kittitas County Line approx 1.9 mi SE of Stirrup Lake,"47.28611, -121.38444"
DANS LAKE,Drains 2300 ft E to Lake Dorothy,"47.58694, -121.39722"
DAVID E BRINK PARK,55 Lake St S & 7th Av S   Kirkland,"47.67167, -122.20278"
DEEP LAKE,"3/4 mi SW fm Cumberland, fed by Deep Creek, seeps to Grn River","47.27444, -121.93778"
DEER LAKE,"Drains to Snoqualmie Lake, 1600 ft to the west","47.57083, -121.39944"
DEER LAKE TRAIL,FS Rd 6410 (Miller River Rd) to FS 6412 ,"47.61139, -121.38667"
DELTA LAKE,"Head of WF Ross River, 1.5 mi S of Trout Lake","47.59250, -121.30750"
DENNY CREEK CAMPGROUND,"Exit 47, I-90 (Campground is on N side of I-90)","47.41000, -121.44000"
DENNY CREEK TRAILHEAD,Trail starts at Denny Creek Campground,"47.41278, -121.44222"
DENNY LAKE,"2700 ft NE of Granite Mtn, drains to Denny Crk & S Fk Snoqualmie ","47.42167, -121.47000"
DERRICK LAKE,"Head of Cripple Creek, 1.5 mi E of Preacher Mountain","47.50000, -121.49333"
DERRICK LAKE POTHOLE,1200 ft SE fm Derrick Lake,"47.49417, -121.49139"
DERRY LAKE,"Drains to SF Snoqualmie River, 4.5 mi SE of North Bend","47.44611, -121.71361"
DESIRE LAKE,Seepage to Peterson Creek & Cedar River,"47.44194, -122.10667"
DEVILS SLIDE,N of the S Fk Tolt Resevoir,"47.73833, -121.64722"
DINGFORD CREEK TRAILHEAD,FS Rd 56 (Mid Fk) to FS 5620 to trailhead,"47.51722, -121.45278"
DIVIDE LAKE,"2400 ft NE of Talapus Lk, drains to Talapus Creek","47.42306, -121.50833"
DOG MOUNTAIN,"NE of Marten Lake, extends into 175C","47.60861, -121.50000"
DOG MOUNTAIN,"NE of Marten Lake, extends into 174D","47.60722, -121.50000"
DOROTHY LAKE,Head of EF Miller River,"47.58694, -121.38222"
DOT HYAK MAINT FACILITY,"Beside freeway,  near Hyak Ski Area ","47.39250, -121.38889"
DOWNTOWN PARK,100th Av NE & NE 1st St  Bellevue,"47.61139, -122.20278"
DOZER LAKE,"Drains south to head of Tye River., 1 mi NW of Stevens Pass","47.75722, -121.09611"
DREAM LAKE,"Head of Big Creek, trib to Taylor River","47.60000, -121.43583"
DREAM LAKE POTHOLE,"Drains to Big Creek, 1800 ft S of Dream Lake","47.59417, -121.43583"
DUTCH MILLER GAP TRAILHEAD,FS Rd 56 (Mid Fk) Trail starts at end of FS Rd 5620,"47.51000, -121.34389"
DUVALL PARK,NE 138th St & Carnation-Duvall Rd  King County,"47.72083, -121.98278"
DYKSTRA PARK,J Reddington Rd & 22nd St NE   Auburn,"47.32667, -122.20917"
E J ROBERTS PARK,NE 6th St & Thrasher Av NE  North Bend,"47.47944, -121.77111"
EAGLE GORGE RESEVOIR,"6 mi SE fm Kanasket, Maps 205D and 206C","47.27306, -121.76694"
EAGLE LAKE,"Head of W branch E Fk Miller River, Drains 2.5 mi NW to Lake Dorothy","47.54917, -121.34167"
EAGLE LAKE,"Drains to Eagle Creek, 1.5 mi NE of Howard Hanson Res.","47.30056, -121.73056"
EAGLE ROCK,"Near King-Snohomish County line, W of Beckler River Road","47.77583, -121.35444"
EAST GREEN RIVER PARK,Auburn Black Diamond Rd & St Rte 18    King County,"47.30194, -122.17944"
EAST GREEN RIVER PARK (1 of 3 parks),SE Green Valley Rd at approx 188th Av SE  King Co.,"47.28472, -122.08750"
EAST GREEN RIVER PARK (2 of 3 parks) ,SE Green Valley Rd   & 218th Av SE  King Co.,"47.28333, -122.05333"
EAST GREEN RIVER PARK (3 of 3 parks),W of Green River Gorge State Park at SE 354th St,"47.27750, -122.03417"
EAST GREEN RIVER PARK S`,"SE Green Valley Rd on Green River,  King County","47.30194, -122.17944"
EAST HILL PARK,100 Av SE & S 232nd   Kent,"47.39250, -122.02056"
EAST HILL PARK,SE 248th St & 109th Av SE  Kent,"47.37944, -122.19444"
EAST NORDRUM POT,Drains 400 ft W to Nordrum Lake,"47.55500, -121.42944"
EAST NORWAY HILL PARK,119th Av NE & NE 154th St  King County,"47.73972, -122.17500"
EASTGATE PARK,14400 SE Newport Wy   King County,"47.56944, -122.14306"
ECHO LAKE,"Adjacent to I-90, drains Lake Creek to Raging River","47.51000, -121.86750"
ECHO LAKE,"In Ten Creek, drains to Tokul Creek","47.58833, -121.73694"
ECHO LAKE,Seepage to Peterson Creek & Cedar River,"47.44194, -122.10667"
EDDS LAKE,"Drains to Burntboot Creek, 5 mi E of Mount Thomson","47.47222, -121.34806"
EDGEWICK FIRE STATION,"Exit 32 I-90, go S on Cedar Falls Rd, then right on SE 174 St","47.44472, -121.76278"
EDITH MOULTON PARK,108th Av NE & NE 137th St  King County,"47.72389, -122.19000"
ELBOW LAKE,"N'most of Shamrock Lakes, 1300 ft fm Shamrock Lake","47.50861, -121.50000"
ELBOW LAKE,"N'most of Shamrock Lakes, 1300 ft fm Shamrock Lake","47.51000, -121.50000"
ELIZABETH LAKE,"Head of Money Creek, on SE side of Red Mountain","47.70194, -121.51694"
ELIZABETH LAKE,"1/2 mi W of Cumberland, 2300 ft N of Deep Lake seeps to Grn River","47.28472, -121.93583"
EMERALD LAKE,"Fed by Opal Lake, drains to Jade Lake","47.57944, -121.25417"
ENAPOOH LAKE,"Drains to Eagle Creek, 1.5 mi NE of Howard Hanson Res.","47.30056, -121.73056"
ENATAI PARK,108th Av SE & SE 25th St   Bellevue,"47.58833, -122.19639"
ENUMCLAW COUNTY PARK,Enumclaw-Chinook Pass Rd   King County,"47.19194, -121.95722"
ENUMCLAW FIRE STATION,Corner Stevenson Ave & Wells,"47.20361, -121.99139"
ENUMCLAW POLICE STATION,"1705 Wells St, Enumclaw","47.20639, -121.98917"
ERNIES GROVE,Small housing area to the east of the North Fork County road,"47.53611, -121.74139"
ESTER LAKE,"W side of Cascade Mtn, drains to WF Miller R. ","47.63694, -121.41861"
ETTA COURTNEY LAKE,Drains to May Creek & Lake Washington,"47.53333, -122.16444"
EVANS LAKE,Drains 1.5 mi E to Foss River just below forks,"47.65556, -121.32472"
EVANS LAKE TRAILHEAD,FS Rd 68 (Foss River Rd) to FS 6840 to FS 6846,"47.66000, -121.31667"
EVELYN LAKE,"2700 ft NE of Granite Mtn, drains to Denny Crk & S Fk Snoqualmie ","47.42167, -121.47000"
EVENS LAKE,"Drains to WF Foss River, 5000 ft SSW of Evans Lake","47.63972, -121.33528"
EVEREST PARK,500 8th St S   Kirkland,"47.67167, -122.18778"
FAIRWEATHER PARK,Evergreen Pt Rd & NE 32nd St  Medina,"47.63778, -122.23500"
FALL CITY COUNTY SHOP,"Exit 22, I-90 (Go N from I-90 thru Preston to Fall City about 4.3 miles)","47.56556, -121.88778"
FALL CITY FIRE STATION,"Exit 22, I-90 In Fall City, Corner of SE 43 St & 334 Pl SE","47.56556, -121.89167"
FALL CITY MEMORIAL PARK,42nd St & 333 Av SE   King County,"47.56944, -121.89528"
FALL CITY POLICE STA. (K.C.P.),"In Fall City, corner SE 43rd St & 336th Pl SE","47.56556, -121.89167"
FALL CITY RIVERFRONT PARK,Fall City-Carnation Rd SE    King County,"47.57083, -121.88861"
FALL CITY SLOUGH,Narrow slough forms complete circle 1/2 mi N of Fall City,"47.57528, -121.88222"
FARRELL MCWHIRTER PARK,196th NE & NE 108th Pl. Redmond,"47.69194, -122.08528"
FEDERATION FOREST STATE PARK,"North of Hwy 410, just before Greenwater","47.15417, -121.69861"
FELL HILL,"NE of Enumclaw, near old railroad grade","47.24417, -121.95083"
FERNWOOD PARK,233rd Av SE & SE 266th St   King County,"47.36444, -122.03417"
FINDLEY LAKE 1,"Head of Findley Creek, 5 mi SE of Chester Morse Lake","47.31944, -121.58333"
FINDLEY LAKE 2,"Drains to Findley Creek, 1000 ft N of Findley Lk 1","47.32222, -121.58333"
FINDLEY LAKE 3,"In Findley Creek, 1000 ft below Findley Lk 1","47.32389, -121.58528"
